Replicate,Temperature,Precipitation,Fertilzer,Status,Shoot_g,Leaf_Wet_g,Leaf_Area
1,2021,Normal,Not Applied,Alive,0.03,0.06,3.143
2,2021,Normal,Not Applied,Alive,0.03,0.05,2.109
3,2021,Normal,Not Applied,Alive,0.06,0.07,4.631
4,2021,Normal,Not Applied,Alive,0.08,0.07,3.119
5,2021,Normal,Not Applied,Alive,0.07,0.11,6.674
6,2021,Normal,Not Applied,Alive,0.04,0.08,3.384
1,2021,Decreased,Not Applied,Dead,NA,NA,NA
2,2021,Decreased,Not Applied,Alive,0.04,0.01,2.53
3,2021,Decreased,Not Applied,Dead,NA,NA,NA
4,2021,Decreased,Not Applied,Dead,NA,NA,NA
5,2021,Decreased,Not Applied,Alive,0.08,0.05,1.437
6,2021,Decreased,Not Applied,Alive,0.04,0.06,2.985
1,2021,Normal,Applied,Alive,0.02,0.1,4.815
2,2021,Normal,Applied,Alive,0.01,0.02,1.974
3,2021,Normal,Applied,Alive,0.04,0.06,4.054
4,2021,Normal,Applied,Alive,0.03,0.04,2.024
5,2021,Normal,Applied,Alive,0.01,0.03,2.109
6,2021,Normal,Applied,Alive,0.02,0.07,4.764
1,2021,Decreased,Applied,Dead,NA,NA,NA
2,2021,Decreased,Applied,Dead,NA,NA,NA
3,2021,Decreased,Applied,Alive,0.02,0.03,1.985
4,2021,Decreased,Applied,Alive,0.01,0.01,0.65
5,2021,Decreased,Applied,Alive,0.01,0.01,0.842
6,2021,Decreased,Applied,Alive,0.01,0.01,0.287
1,2100,Normal,Not Applied,Dead,NA,NA,NA
2,2100,Normal,Not Applied,Alive,0.02,0.03,1.31
3,2100,Normal,Not Applied,Alive,0.01,0.09,2.265
4,2100,Normal,Not Applied,Dead,NA,NA,NA
5,2100,Normal,Not Applied,Dead,NA,NA,NA
6,2100,Normal,Not Applied,Dead,NA,NA,NA
1,2100,Decreased,Not Applied,Dead,NA,NA,NA
2,2100,Decreased,Not Applied,Dead,NA,NA,NA
3,2100,Decreased,Not Applied,Dead,NA,NA,NA
4,2100,Decreased,Not Applied,Dead,NA,NA,NA
5,2100,Decreased,Not Applied,Dead,NA,NA,NA
6,2100,Decreased,Not Applied,Dead,NA,NA,NA
1,2100,Normal,Applied,Dead,NA,NA,NA
2,2100,Normal,Applied,Alive,0.08,0.02,1.673
3,2100,Normal,Applied,Dead,NA,NA,NA
4,2100,Normal,Applied,Dead,NA,NA,NA
5,2100,Normal,Applied,Alive,0.32,0.12,3.257
6,2100,Normal,Applied,Alive,0.19,0.02,2.29
1,2100,Decreased,Applied,Dead,NA,NA,NA
2,2100,Decreased,Applied,Dead,NA,NA,NA
3,2100,Decreased,Applied,Dead,NA,NA,NA
4,2100,Decreased,Applied,Dead,NA,NA,NA
5,2100,Decreased,Applied,Dead,NA,NA,NA
6,2100,Decreased,Applied,Dead,NA,NA,NA